IGLV3-21	UniProtKB:P80748	Immunoglobulin lambda variable 3-21
B2M	UniProtKB:P61769	Beta-2-microglobulin
CSK	UniProtKB:P41240	Tyrosine-protein kinase CSK
IGKV1-37	UniProtKB:A0A075B6S9	Probable non-functional immunoglobulinn kappa variable 1-37
SKAP1	UniProtKB:Q86WV1	Src kinase-associated phosphoprotein 1
IFNE	UniProtKB:Q86WN2	Interferon epsilon
IGKV3D-15	UniProtKB:A0A087WSY6	Immunoglobulin kappa variable 3D-15
IGHV8-51-1	UniProtKB:P0DTE2	Probable non-functional immunoglobulin heavy variable 8-51-1
IGHV3-38-3	UniProtKB:P0DTE1	Probable non-functional immunoglobulin heavy variable 3-38-3
ATAD5	UniProtKB:Q96QE3	ATPase family AAA domain-containing protein 5
IGKV1D-37	UniProtKB:P0DSN7	Probable non-functional immunoglobulinn kappa variable 1D-37
OTUD7B	UniProtKB:Q6GQQ9	OTU domain-containing protein 7B
FCRL4	UniProtKB:Q96PJ5	Fc receptor-like protein 4
ARG2	UniProtKB:P78540	Arginase-2, mitochondrial
IL2RB	UniProtKB:P14784	Interleukin-2 receptor subunit beta
LY9	UniProtKB:Q9HBG7	T-lymphocyte surface antigen Ly-9
JAG1	UniProtKB:P78504	Protein jagged-1
TAP2	UniProtKB:Q03519	Antigen peptide transporter 2
TAP1	UniProtKB:Q03518	Antigen peptide transporter 1
ALCAM	UniProtKB:Q13740	CD166 antigen
HLA-DPB1	UniProtKB:P04440	HLA class II histocompatibility antigen, DP beta 1 chain
HLA-A	UniProtKB:P04439	HLA class I histocompatibility antigen, A alpha chain
HLA-A	UniProtKB:P04439	HLA class I histocompatibility antigen, A alpha chain
HLA-A	UniProtKB:P04439	HLA class I histocompatibility antigen, A alpha chain
HLA-A	UniProtKB:P04439	HLA class I histocompatibility antigen, A alpha chain
TRAV29DV5	UniProtKB:P04437	T cell receptor alpha variable 29/delta variable 5
TRBV7-9	UniProtKB:P04435	T cell receptor beta variable 7-9
IGKV3-11	UniProtKB:P04433	Immunoglobulin kappa variable 3-11
IGKV1-16	UniProtKB:P04430	Immunoglobulin kappa variable 1-16
BTN3A2	UniProtKB:P78410	Butyrophilin subfamily 3 member A2
C4BPA	UniProtKB:P04003	C4b-binding protein alpha chain
C4BPA	UniProtKB:P04003	C4b-binding protein alpha chain
ERAP1	UniProtKB:Q9NZ08	Endoplasmic reticulum aminopeptidase 1
LAIR1	UniProtKB:Q6GTX8	Leukocyte-associated immunoglobulin-like receptor 1
PRF1	UniProtKB:P14222	Perforin-1
PRF1	UniProtKB:P14222	Perforin-1
SLAMF1	UniProtKB:Q13291	Signaling lymphocytic activation molecule
KLRD1	UniProtKB:Q13241	Natural killer cells antigen CD94
EXO1	UniProtKB:Q9UQ84	Exonuclease 1
EXO1	UniProtKB:Q9UQ84	Exonuclease 1
TRDD1	UniProtKB:P0DPR3	T cell receptor delta diversity 1
TRBD1	UniProtKB:P0DPI4	T cell receptor beta diversity 1
SANBR	UniProtKB:Q6NSI8	SANT and BTB domain regulator of class switch recombination
SANBR	UniProtKB:Q6NSI8	SANT and BTB domain regulator of class switch recombination
CD274	UniProtKB:Q9NZQ7	Programmed cell death 1 ligand 1
C1RL	UniProtKB:Q9NZP8	Complement C1r subcomponent-like protein
ANXA1	UniProtKB:P04083	Annexin A1
DCLRE1C	UniProtKB:Q96SD1	Protein artemis
CD81	UniProtKB:P60033	CD81 antigen
IL4I1	UniProtKB:Q96RQ9	L-amino-acid oxidase
LAT2	UniProtKB:Q9GZY6	Linker for activation of T-cells family member 2
AICDA	UniProtKB:Q9GZX7	Single-stranded DNA cytosine deaminase
MCOLN1	UniProtKB:Q9GZU1	Mucolipin-1
CD79A	UniProtKB:P11912	B-cell antigen receptor complex-associated protein alpha chain
LAG3	UniProtKB:P18627	Lymphocyte activation gene 3 protein
IGLV1-44	UniProtKB:P01699	Immunoglobulin lambda variable 1-44
BTLA	UniProtKB:Q7Z6A9	B- and T-lymphocyte attenuator
IGKV3-15	UniProtKB:P01624	Immunoglobulin kappa variable 3-15
IGKV3-20	UniProtKB:P01619	Immunoglobulin kappa variable 3-20
IGKV2D-28	UniProtKB:P01615	Immunoglobulin kappa variable 2D-28
IGKV2D-40	UniProtKB:P01614	Immunoglobulin kappa variable 2D-40
IGKV1D-12	UniProtKB:P01611	Immunoglobulin kappa variable 1D-12
IGKV1-5	UniProtKB:P01602	Immunoglobulin kappa variable 1-5
IGKV1D-16	UniProtKB:P01601	Immunoglobulin kappa variable 1D-16
NFKB2	UniProtKB:Q00653	Nuclear factor NF-kappa-B p100 subunit
FBXO38	UniProtKB:Q6PIJ6	F-box only protein 38
IGKV1-17	UniProtKB:P01599	Immunoglobulin kappa variable 1-17
IGKV1-39	UniProtKB:P01597	Immunoglobulin kappa variable 1-39
IGKV1-33	UniProtKB:P01594	Immunoglobulin kappa variable 1-33
IGKV1D-33	UniProtKB:P01593	Immunoglobulin kappa variable 1D-33
JCHAIN	UniProtKB:P01591	Immunoglobulin J chain
IFNG	UniProtKB:P01579	Interferon gamma
IFNB1	UniProtKB:P01574	Interferon beta
IFNA17	UniProtKB:P01571	Interferon alpha-17
IFNA14	UniProtKB:P01570	Interferon alpha-14
IFNA5	UniProtKB:P01569	Interferon alpha-5
IFNA21	UniProtKB:P01568	Interferon alpha-21
IFNA7	UniProtKB:P01567	Interferon alpha-7
IFNA10	UniProtKB:P01566	Interferon alpha-10
IFNA2	UniProtKB:P01563	Interferon alpha-2
IFNA1	UniProtKB:P01562	Interferon alpha-1/13
TRAJ42	UniProtKB:A0A075B6Y9	T cell receptor alpha joining 42
TRAJ3	UniProtKB:A0A075B6Y3	T cell receptor alpha joining 3
TRAV18	UniProtKB:A0A075B6X5	T cell receptor alpha variable 18
TRAV23DV6	UniProtKB:A0A075B6W5	T cell receptor alpha variable 23/delta variable 6
EIF2AK4	UniProtKB:Q9P2K8	eIF-2-alpha kinase GCN2
TRAV36DV7	UniProtKB:A0A075B6V5	T cell receptor alpha variable 36/delta variable 7
TRAV8-7	UniProtKB:A0A075B6U6	Ig-like domain-containing protein
TRAV7	UniProtKB:A0A075B6U4	T cell receptor alpha variable 7
FGA	UniProtKB:P02671	Fibrinogen alpha chain
TRAV9-1	UniProtKB:A0A075B6T8	T cell receptor alpha variable 9-1
TRAV6	UniProtKB:A0A075B6T7	T cell receptor alpha variable 6
TRAV12-2	UniProtKB:A0A075B6T6	T cell receptor alpha variable 12-2
IGKV2D-30	UniProtKB:A0A075B6S6	Immunoglobulin kappa variable 2D-30
IGKV1-27	UniProtKB:A0A075B6S5	Immunoglobulin kappa variable 1-27
IGKV1D-17	UniProtKB:A0A075B6S4	Immunoglobulin kappa variable 1D-17
IGKV2D-29	UniProtKB:A0A075B6S2	Immunoglobulin kappa variable 2D-29
TRGJ1	UniProtKB:A0A075B6S0	T cell receptor gamma joining 1
IGKV2D-24	UniProtKB:A0A075B6R9	Probable non-functional immunoglobulin kappa variable 2D-24
IGHV4-4	UniProtKB:A0A075B6R2	Immunoglobulin heavy variable 4-4
TRGV2	UniProtKB:A0A075B6R0	T cell receptor gamma variable 2
IGHV3-64	UniProtKB:A0A075B6Q5	Immunoglobulin heavy variable 3-64
UNC13D	UniProtKB:Q70J99	Protein unc-13 homolog D
IGKV2-28	UniProtKB:A0A075B6P5	Immunoglobulin kappa variable 2-28
TRDJ1	UniProtKB:A0A075B706	T cell receptor delta joining 1
TRAJ31	UniProtKB:A0A075B700	T cell receptor alpha joining 31
TRBV25-1	UniProtKB:A0A075B6N4	T cell receptor beta variable 25-1
TRBV24-1	UniProtKB:A0A075B6N3	T cell receptor beta variable 24-1
TRBV20-1	UniProtKB:A0A075B6N2	T cell receptor beta variable 20-1
TRBV19	UniProtKB:A0A075B6N1	T cell receptor beta variable 19
TRBV7-3	UniProtKB:A0A075B6L6	Probable non-functional T cell receptor beta variable 7-3
TRGV11	UniProtKB:A0A075B6L2	Probable non-functional T cell receptor gamma variable 11
IGLV4-3	UniProtKB:A0A075B6K6	Immunoglobulin lambda variable 4-3
IGLV3-9	UniProtKB:A0A075B6K5	Immunoglobulin lambda variable 3-9
IGLV3-10	UniProtKB:A0A075B6K4	Immunoglobulin lambda variable 3-10
IGLV3-12	UniProtKB:A0A075B6K2	Immunoglobulin lambda variable 3-12
IGLV3-16	UniProtKB:A0A075B6K0	Immunoglobulin lambda variable 3-16
IGLV2-18	UniProtKB:A0A075B6J9	Immunoglobulin lambda variable 2-18
IGLV3-22	UniProtKB:A0A075B6J6	Immunoglobulin lambda variable 3-22
IGLV2-33	UniProtKB:A0A075B6J2	Probable non-functional immunoglobulin lambda variable 2-33
IGLV5-37	UniProtKB:A0A075B6J1	Immunoglobulin lambda variable 5-37
IGLV7-46	UniProtKB:A0A075B6I9	Immunoglobulin lambda variable 7-46
IGLV5-48	UniProtKB:A0A075B6I7	Probable non-functional immunoglobulin lambda variable 5-48
IGLV1-50	UniProtKB:A0A075B6I6	Probable non-functional immunoglobulin lambda variable 1-50
IGLV10-54	UniProtKB:A0A075B6I4	Immunoglobulin lambda variable 10-54
IGLV11-55	UniProtKB:A0A075B6I3	Probable non-functional immunoglobulin lambda variable 11-55
IGLV4-60	UniProtKB:A0A075B6I1	Immunoglobulin lambda variable 4-60
IGLV8-61	UniProtKB:A0A075B6I0	Immunoglobulin lambda variable 8-61
IGLV4-69	UniProtKB:A0A075B6H9	Immunoglobulin lambda variable 4-69
IGKV1D-42	UniProtKB:A0A075B6H8	Probable non-functional immunoglobulin kappa variable 1D-42
IGKV3-7	UniProtKB:A0A075B6H7	Probable non-functional immunoglobulin kappa variable 3-7
HLA-B	UniProtKB:P01889	HLA class I histocompatibility antigen, B alpha chain
IGHD	UniProtKB:P01880	Immunoglobulin heavy constant delta
IGHD	UniProtKB:P01880	Immunoglobulin heavy constant delta
IGHA2	UniProtKB:P01877	Immunoglobulin heavy constant alpha 2
IGHA2	UniProtKB:P01877	Immunoglobulin heavy constant alpha 2
IGHA1	UniProtKB:P01876	Immunoglobulin heavy constant alpha 1
IGHA1	UniProtKB:P01876	Immunoglobulin heavy constant alpha 1
IGHM	UniProtKB:P01871	Immunoglobulin heavy constant mu
IGHM	UniProtKB:P01871	Immunoglobulin heavy constant mu
IGHG4	UniProtKB:P01861	Immunoglobulin heavy constant gamma 4
IGHG4	UniProtKB:P01861	Immunoglobulin heavy constant gamma 4
IGHG3	UniProtKB:P01860	Immunoglobulin heavy constant gamma 3
IGHG3	UniProtKB:P01860	Immunoglobulin heavy constant gamma 3
IGHG2	UniProtKB:P01859	Immunoglobulin heavy constant gamma 2
IGHG2	UniProtKB:P01859	Immunoglobulin heavy constant gamma 2
IGHG1	UniProtKB:P01857	Immunoglobulin heavy constant gamma 1
IGHG1	UniProtKB:P01857	Immunoglobulin heavy constant gamma 1
IGHG1	UniProtKB:P01857	Immunoglobulin heavy constant gamma 1
IGHG1	UniProtKB:P01857	Immunoglobulin heavy constant gamma 1
IGHE	UniProtKB:P01854	Immunoglobulin heavy constant epsilon
IGHE	UniProtKB:P01854	Immunoglobulin heavy constant epsilon
IGHE	UniProtKB:P01854	Immunoglobulin heavy constant epsilon
IGHE	UniProtKB:P01854	Immunoglobulin heavy constant epsilon
IGHE	UniProtKB:P01854	Immunoglobulin heavy constant epsilon
IGHE	UniProtKB:P01854	Immunoglobulin heavy constant epsilon
IGHE	UniProtKB:P01854	Immunoglobulin heavy constant epsilon
TRBC1	UniProtKB:P01850	T cell receptor beta constant 1
TRAC	UniProtKB:P01848	T cell receptor alpha chain constant
IGKC	UniProtKB:P01834	Immunoglobulin kappa constant
IGKC	UniProtKB:P01834	Immunoglobulin kappa constant
IGKC	UniProtKB:P01834	Immunoglobulin kappa constant
IGHV4-59	UniProtKB:P01825	Immunoglobulin heavy variable 4-59
IGHV4-39	UniProtKB:P01824	Immunoglobulin heavy variable 4-39
CRACR2A	UniProtKB:Q9BSW2	EF-hand calcium-binding domain-containing protein 4B
CRACR2A	UniProtKB:Q9BSW2	EF-hand calcium-binding domain-containing protein 4B
IGHV2-5	UniProtKB:P01817	Immunoglobulin heavy variable 2-5
IGHV2-70	UniProtKB:P01814	Immunoglobulin heavy variable 2-70
PSG9	UniProtKB:Q00887	Pregnancy-specific beta-1-glycoprotein 9
C1QA	UniProtKB:P02745	Complement C1q subcomponent subunit A
C1QA	UniProtKB:P02745	Complement C1q subcomponent subunit A
C1QB	UniProtKB:P02746	Complement C1q subcomponent subunit B
C1QB	UniProtKB:P02746	Complement C1q subcomponent subunit B
C9	UniProtKB:P02748	Complement component C9
VTCN1	UniProtKB:Q7Z7D3	V-set domain-containing T-cell activation inhibitor 1
IGHV3-9	UniProtKB:P01782	Immunoglobulin heavy variable 3-9
IGHV3-7	UniProtKB:P01780	Immunoglobulin heavy variable 3-7
P2RX7	UniProtKB:Q99572	P2X purinoceptor 7
CLEC4C	UniProtKB:Q8WTT0	C-type lectin domain family 4 member C
BMX	UniProtKB:P51813	Cytoplasmic tyrosine-protein kinase BMX
IGHV1-69-2	UniProtKB:A0A0G2JMI3	Immunoglobulin heavy variable 1-69-2
FCGR2C	UniProtKB:P31995	Low affinity immunoglobulin gamma Fc region receptor II-c
FCGR2B	UniProtKB:P31994	Low affinity immunoglobulin gamma Fc region receptor II-b
FCGR2B	UniProtKB:P31994	Low affinity immunoglobulin gamma Fc region receptor II-b
A0AAG2SXZ4	UniProtKB:A0AAG2SXZ4	Ig-like domain-containing protein
TGFB1	UniProtKB:P01137	Transforming growth factor beta-1 proprotein
HRAS	UniProtKB:P01112	GTPase HRas
A0A0G2JRQ6	UniProtKB:A0A0G2JRQ6	Ig-like domain-containing protein
IGLV5-39	UniProtKB:A0A0G2JS06	Immunoglobulin lambda variable 5-39
MBL2	UniProtKB:P11226	Mannose-binding protein C
A0AAG2SVT6	UniProtKB:A0AAG2SVT6	Ig-like domain-containing protein
EXOSC6	UniProtKB:Q5RKV6	Exosome complex component MTR3
HLA-DMA	UniProtKB:P28067	HLA class II histocompatibility antigen, DM alpha chain
PPP3CB	UniProtKB:P16298	Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform
IGKV1-9	UniProtKB:A0A0C4DH69	Immunoglobulin kappa variable 1-9
IGKV2-24	UniProtKB:A0A0C4DH68	Immunoglobulin kappa variable 2-24
IGHJ1	UniProtKB:A0A0C4DH62	Immunoglobulin heavy joining 1
TRBV5-4	UniProtKB:A0A0C4DH59	T cell receptor beta variable 5-4
IGKV3D-7	UniProtKB:A0A0C4DH55	Immunoglobulin kappa variable 3D-7
A0A8V8TLY5	UniProtKB:A0A8V8TLY5	Ig-like domain-containing protein
CD55	UniProtKB:P08174	Complement decay-accelerating factor
TRBV6-3	UniProtKB:P0DPF7	T cell receptor beta variable 6-3
TRBV6-2	UniProtKB:A0A0J9YXY3	T cell receptor beta variable 6-2
IL6R	UniProtKB:P08887	Interleukin-6 receptor subunit alpha
IL6R	UniProtKB:P08887	Interleukin-6 receptor subunit alpha
A0A0J9YY99	UniProtKB:A0A0J9YY99	Ig-like domain-containing protein
IGHV5-10-1	UniProtKB:A0A0J9YXX1	Immunoglobulin heavy variable 5-10-1
TRBJ1-5	UniProtKB:A0A0J9YXM7	T cell receptor beta joining 1-5
TRBJ1-4	UniProtKB:A0A0J9YXG5	T cell receptor beta joining 1-4
TRBJ1-1	UniProtKB:A0A0J9YXA8	T cell receptor beta joining 1-1
TRBJ1-6	UniProtKB:A0A0J9YWX3	T cell receptor beta joining 1-6
TRBV6-9	UniProtKB:A0A0J9YX75	T cell receptor beta variable 6-9
A0A0J9YWU9	UniProtKB:A0A0J9YWU9	Ig-like domain-containing protein
IGHV3-64D	UniProtKB:A0A0J9YX35	Immunoglobulin heavy variable 3-64D
TRBJ1-2	UniProtKB:A0A0J9YX06	T cell receptor beta joining 1-2
IGHV3OR16-8	UniProtKB:A0A075B7F1	Ig-like domain-containing protein
IGHV3OR16-10	UniProtKB:A0A075B7F0	Ig-like domain-containing protein
IGHV3OR16-13	UniProtKB:A0A075B7E8	Ig-like domain-containing protein
IGHV7-4-1	UniProtKB:A0A0J9YVY3	Immunoglobulin heavy variable 7-4-1
IGHV3OR15-7	UniProtKB:A0A075B7D8	Ig-like domain-containing protein
IGHV1OR15-1	UniProtKB:A0A075B7D0	Ig-like domain-containing protein
IGHV3OR16-12	UniProtKB:A0A075B7B8	Immunoglobulin V-set domain-containing protein
IGHV4OR15-8	UniProtKB:A0A075B7B6	Ig-like domain-containing protein
HLA-DQB1	UniProtKB:P01920	HLA class II histocompatibility antigen, DQ beta 1 chain
A0A0J9YW62	UniProtKB:A0A0J9YW62	Immunoglobulin V-set domain-containing protein
HLA-DQA1	UniProtKB:P01909	HLA class II histocompatibility antigen, DQ alpha 1 chain
HLA-DQA2	UniProtKB:P01906	HLA class II histocompatibility antigen, DQ alpha 2 chain
HLA-DRA	UniProtKB:P01903	HLA class II histocompatibility antigen, DR alpha chain
FCGR3A	UniProtKB:P08637	Low affinity immunoglobulin gamma Fc region receptor III-A
FCGR3A	UniProtKB:P08637	Low affinity immunoglobulin gamma Fc region receptor III-A
FCGR3A	UniProtKB:P08637	Low affinity immunoglobulin gamma Fc region receptor III-A
FCGR3A	UniProtKB:P08637	Low affinity immunoglobulin gamma Fc region receptor III-A
RNF8	UniProtKB:O76064	E3 ubiquitin-protein ligase RNF8
PIK3CG	UniProtKB:P48736	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform
C5	UniProtKB:P01031	Complement C5
C3	UniProtKB:P01024	Complement C3
IGHV3-33	UniProtKB:P01772	Immunoglobulin heavy variable 3-33
IGHV3-30	UniProtKB:P01768	Immunoglobulin heavy variable 3-30
IGHV3-53	UniProtKB:P01767	Immunoglobulin heavy variable 3-53
IGHV3-13	UniProtKB:P01766	Immunoglobulin heavy variable 3-13
IGHV3-23	UniProtKB:P01764	Immunoglobulin heavy variable 3-23
IGHV3-48	UniProtKB:P01763	Immunoglobulin heavy variable 3-48
IGHV3-11	UniProtKB:P01762	Immunoglobulin heavy variable 3-11
IGHV1-46	UniProtKB:P01743	Immunoglobulin heavy variable 1-46
IGHV1-69	UniProtKB:P01742	Immunoglobulin heavy variable 1-69
IFNK	UniProtKB:Q9P0W0	Interferon kappa
TRAV8-4	UniProtKB:P01737	T cell receptor alpha variable 8-4
TRBV12-3	UniProtKB:P01733	T cell receptor beta variable 12-3
CD8A	UniProtKB:P01732	T-cell surface glycoprotein CD8 alpha chain
CD8A	UniProtKB:P01732	T-cell surface glycoprotein CD8 alpha chain
CD8A	UniProtKB:P01732	T-cell surface glycoprotein CD8 alpha chain
CD4	UniProtKB:P01730	T-cell surface glycoprotein CD4
IGLV6-57	UniProtKB:P01721	Immunoglobulin lambda variable 6-57
IGLV3-27	UniProtKB:P01718	Immunoglobulin lambda variable 3-27
IGLV3-25	UniProtKB:P01717	Immunoglobulin lambda variable 3-25
IGLV3-1	UniProtKB:P01715	Immunoglobulin lambda variable 3-1
IGLV3-19	UniProtKB:P01714	Immunoglobulin lambda variable 3-19
NBN	UniProtKB:O60934	Nibrin
IGLV2-8	UniProtKB:P01709	Immunoglobulin lambda variable 2-8
IGLV2-11	UniProtKB:P01706	Immunoglobulin lambda variable 2-11
IGLV2-23	UniProtKB:P01705	Immunoglobulin lambda variable 2-23
IGLV2-14	UniProtKB:P01704	Immunoglobulin lambda variable 2-14
IGLV1-40	UniProtKB:P01703	Immunoglobulin lambda variable 1-40
IGLV1-51	UniProtKB:P01701	Immunoglobulin lambda variable 1-51
IGLV1-47	UniProtKB:P01700	Immunoglobulin lambda variable 1-47
CXCL13	UniProtKB:O43927	C-X-C motif chemokine 13
AIRE	UniProtKB:O43918	Autoimmune regulator
AIRE	UniProtKB:O43918	Autoimmune regulator
MSH6	UniProtKB:P52701	DNA mismatch repair protein Msh6
IL18	UniProtKB:Q14116	Interleukin-18
ERAP2	UniProtKB:Q6P179	Endoplasmic reticulum aminopeptidase 2
MTOR	UniProtKB:P42345	Serine/threonine-protein kinase mTOR
CD86	UniProtKB:P42081	T-lymphocyte activation antigen CD86
HLX	UniProtKB:Q14774	H2.0-like homeobox protein
CD40	UniProtKB:P25942	Tumor necrosis factor receptor superfamily member 5
NOTCH1	UniProtKB:P46531	Neurogenic locus notch homolog protein 1
C1QBP	UniProtKB:Q07021	Complement component 1 Q subcomponent-binding protein, mitochondrial
ZP3	UniProtKB:P21754	Zona pellucida sperm-binding protein 3
TRBJ2-7	UniProtKB:A0A0A0MT78	T cell receptor beta joining 2-7
IGLJ1	UniProtKB:A0A0A0MT76	Immunoglobulin lambda joining 1
TRBJ2-6	UniProtKB:A0A0A0MT70	T cell receptor beta joining 2-6
RAP1GAP2	UniProtKB:Q684P5	Rap1 GTPase-activating protein 2
C4B	UniProtKB:P0C0L5	Complement C4-B
IGKV6D-21	UniProtKB:A0A0A0MT36	Immunoglobulin kappa variable 6D-21
RAG1	UniProtKB:P15918	V(D)J recombination-activating protein 1
HMGB1	UniProtKB:P09429	High mobility group protein B1
CTSS	UniProtKB:P25774	Cathepsin S
CLEC6A	UniProtKB:Q6EIG7	C-type lectin domain family 6 member A
IL6	UniProtKB:P05231	Interleukin-6
IL6	UniProtKB:P05231	Interleukin-6
IGHV2-70D	UniProtKB:A0A0C4DH43	Immunoglobulin heavy variable 2-70D
IGHV3-66	UniProtKB:A0A0C4DH42	Immunoglobulin heavy variable 3-66
IGHV1-58	UniProtKB:A0A0C4DH39	Immunoglobulin heavy variable 1-58
IGHV5-51	UniProtKB:A0A0C4DH38	Immunoglobulin heavy variable 5-51
IGHV3-35	UniProtKB:A0A0C4DH35	Probable non-functional immunoglobulin heavy variable 3-35
IGHV4-28	UniProtKB:A0A0C4DH34	Immunoglobulin heavy variable 4-28
IGHV3-20	UniProtKB:A0A0C4DH32	Immunoglobulin heavy variable 3-20
IGHV1-18	UniProtKB:A0A0C4DH31	Immunoglobulin heavy variable 1-18
IGHV1-3	UniProtKB:A0A0C4DH29	Immunoglobulin heavy variable 1-3
TRGV4	UniProtKB:A0A0C4DH28	T cell receptor gamma variable 4
TRGV8	UniProtKB:A0A0C4DH27	T cell receptor gamma variable 8
IGKV3D-20	UniProtKB:A0A0C4DH25	Immunoglobulin kappa variable 3D-20
IGKV6-21	UniProtKB:A0A0C4DH24	Immunoglobulin kappa variable 6-21
MYO1G	UniProtKB:B0I1T2	Unconventional myosin-Ig
AKIRIN2	UniProtKB:Q53H80	Akirin-2
A0AAG2TU05	UniProtKB:A0AAG2TU05	Ig-like domain-containing protein
SUSD4	UniProtKB:Q5VX71	Sushi domain-containing protein 4
IFNA16	UniProtKB:P05015	Interferon alpha-16
IFNA4	UniProtKB:P05014	Interferon alpha-4
IFNA6	UniProtKB:P05013	Interferon alpha-6
IFNW1	UniProtKB:P05000	Interferon omega-1
IL9	UniProtKB:P15248	Interleukin-9
CAMK4	UniProtKB:Q16566	Calcium/calmodulin-dependent protein kinase type IV
TNFRSF21	UniProtKB:O75509	Tumor necrosis factor receptor superfamily member 21
TNFRSF21	UniProtKB:O75509	Tumor necrosis factor receptor superfamily member 21
IL17A	UniProtKB:Q16552	Interleukin-17A
CARD9	UniProtKB:Q9H257	Caspase recruitment domain-containing protein 9
BATF	UniProtKB:Q16520	Basic leucine zipper transcriptional factor ATF-like
BATF	UniProtKB:Q16520	Basic leucine zipper transcriptional factor ATF-like
BATF	UniProtKB:Q16520	Basic leucine zipper transcriptional factor ATF-like
DBNL	UniProtKB:Q9UJU6	Drebrin-like protein
LEF1	UniProtKB:Q9UJU2	Lymphoid enhancer-binding factor 1
UNC93B1	UniProtKB:Q9H1C4	Protein unc-93 homolog B1
BCL10	UniProtKB:O95999	B-cell lymphoma/leukemia 10
BCL10	UniProtKB:O95999	B-cell lymphoma/leukemia 10
BCL10	UniProtKB:O95999	B-cell lymphoma/leukemia 10
BCL10	UniProtKB:O95999	B-cell lymphoma/leukemia 10
IL18BP	UniProtKB:O95998	Interleukin-18-binding protein
IL18BP	UniProtKB:O95998	Interleukin-18-binding protein
C1S	UniProtKB:P09871	Complement C1s subcomponent
NFKBIZ	UniProtKB:Q9BYH8	NF-kappa-B inhibitor zeta
NFKBIZ	UniProtKB:Q9BYH8	NF-kappa-B inhibitor zeta
NFKBIZ	UniProtKB:Q9BYH8	NF-kappa-B inhibitor zeta
NFKBIZ	UniProtKB:Q9BYH8	NF-kappa-B inhibitor zeta
ITK	UniProtKB:Q08881	Tyrosine-protein kinase ITK/TSK
ITK	UniProtKB:Q08881	Tyrosine-protein kinase ITK/TSK
FGL1	UniProtKB:Q08830	Fibrinogen-like protein 1
CADM1	UniProtKB:Q9BY67	Cell adhesion molecule 1
KDM5D	UniProtKB:Q9BY66	Lysine-specific demethylase 5D
MPEG1	UniProtKB:Q2M385	Macrophage-expressed gene 1 protein
JAM3	UniProtKB:Q9BX67	Junctional adhesion molecule C
MARCHF8	UniProtKB:Q5T0T0	E3 ubiquitin-protein ligase MARCHF8
SHLD3	UniProtKB:Q6ZNX1	Shieldin complex subunit 3
PDCD1LG2	UniProtKB:Q9BQ51	Programmed cell death 1 ligand 2
IL12B	UniProtKB:P29460	Interleukin-12 subunit beta
LIG4	UniProtKB:P49917	DNA ligase 4
CD70	UniProtKB:P32970	CD70 antigen
CD70	UniProtKB:P32970	CD70 antigen
CD70	UniProtKB:P32970	CD70 antigen
CSF2RB	UniProtKB:P32927	Cytokine receptor common subunit beta
RELB	UniProtKB:Q01201	Transcription factor RelB
RNF19B	UniProtKB:Q6ZMZ0	E3 ubiquitin-protein ligase RNF19B
TRBV2	UniProtKB:A0A1B0GX68	T cell receptor beta variable 2
TRDV1	UniProtKB:A0A1B0GX56	T cell receptor delta variable 1
TRBV7-8	UniProtKB:A0A1B0GX51	T cell receptor beta variable 7-8
TRBV6-4	UniProtKB:A0A1B0GX49	T cell receptor beta variable 6-4
TRBV7-6	UniProtKB:A0A1B0GX31	T cell receptor beta variable 7-6
ADA	UniProtKB:P00813	Adenosine deaminase
MICA	UniProtKB:Q29983	MHC class I polypeptide-related sequence A
MICB	UniProtKB:Q29980	MHC class I polypeptide-related sequence B
IGHV3OR16-17	UniProtKB:S4R3C0	Ig-like domain-containing protein
FGB	UniProtKB:P02675	Fibrinogen beta chain
JAK2	UniProtKB:O60674	Tyrosine-protein kinase JAK2
TLR4	UniProtKB:O00206	Toll-like receptor 4
ZNF683	UniProtKB:Q8IZ20	Tissue-resident T-cell transcription regulator protein ZNF683
INPP5D	UniProtKB:Q92835	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1
TRBV4-2	UniProtKB:A0A539	T cell receptor beta variable 4-2
PRKD2	UniProtKB:Q9BZL6	Serine/threonine-protein kinase D2
BACH2	UniProtKB:Q9BYV9	Transcription regulator protein BACH2
CLEC4D	UniProtKB:Q8WXI8	C-type lectin domain family 4 member D
IL17F	UniProtKB:Q96PD4	Interleukin-17F
EMP2	UniProtKB:P54851	Epithelial membrane protein 2
ERCC1	UniProtKB:P07992	DNA excision repair protein ERCC-1
LYN	UniProtKB:P07948	Tyrosine-protein kinase Lyn
LAMP3	UniProtKB:Q9UQV4	Lysosome-associated membrane glycoprotein 3
OTUB1	UniProtKB:Q96FW1	Ubiquitin thioesterase OTUB1
SIPA1	UniProtKB:Q96FS4	Signal-induced proliferation-associated protein 1
CD84	UniProtKB:Q9UIB8	SLAM family member 5
CD74	UniProtKB:P04233	HLA class II histocompatibility antigen gamma chain
CD3D	UniProtKB:P04234	T-cell surface glycoprotein CD3 delta chain
TREX1	UniProtKB:Q9NSU2	Three-prime repair exonuclease 1
TREX1	UniProtKB:Q9NSU2	Three-prime repair exonuclease 1
GATA3	UniProtKB:P23771	Trans-acting T-cell-specific transcription factor GATA-3
