PLP1	UniProtKB:P60201	Myelin proteolipid protein
CCL1	UniProtKB:P22362	C-C motif chemokine 1
CXCL5	UniProtKB:P42830	C-X-C motif chemokine 5
FUT7	UniProtKB:Q11130	Alpha-(1,3)-fucosyltransferase 7
FUT7	UniProtKB:Q11130	Alpha-(1,3)-fucosyltransferase 7
UGT1A1	UniProtKB:P22309	UDP-glucuronosyltransferase 1A1
IL10	UniProtKB:P22301	Interleukin-10
TRAF3IP2	UniProtKB:O43734	E3 ubiquitin ligase TRAF3IP2
TRAF3IP2	UniProtKB:O43734	E3 ubiquitin ligase TRAF3IP2
IL36RN	UniProtKB:Q9UBH0	Interleukin-36 receptor antagonist protein
PRCP	UniProtKB:P42785	Lysosomal Pro-X carboxypeptidase
DHRS7B	UniProtKB:Q6IAN0	Dehydrogenase/reductase SDR family member 7B
MAPKAPK2	UniProtKB:P49137	MAP kinase-activated protein kinase 2
MAPKAPK2	UniProtKB:P49137	MAP kinase-activated protein kinase 2
ACOD1	UniProtKB:A6NK06	Cis-aconitate decarboxylase
RIPK2	UniProtKB:O43353	Receptor-interacting serine/threonine-protein kinase 2
REL	UniProtKB:Q04864	Proto-oncogene c-Rel
PRDX2	UniProtKB:P32119	Peroxiredoxin-2
MAP3K7	UniProtKB:O43318	Mitogen-activated protein kinase kinase kinase 7
IRAK2	UniProtKB:O43187	Interleukin-1 receptor-associated kinase-like 2
ITGB1	UniProtKB:P05556	Integrin beta-1
NFATC4	UniProtKB:Q14934	Nuclear factor of activated T-cells, cytoplasmic 4
APP	UniProtKB:P05067	Amyloid-beta precursor protein
APP	UniProtKB:P05067	Amyloid-beta precursor protein
APP	UniProtKB:P05067	Amyloid-beta precursor protein
APP	UniProtKB:P05067	Amyloid-beta precursor protein
APP	UniProtKB:P05067	Amyloid-beta precursor protein
APP	UniProtKB:P05067	Amyloid-beta precursor protein
APP	UniProtKB:P05067	Amyloid-beta precursor protein
PJA2	UniProtKB:O43164	E3 ubiquitin-protein ligase Praja-2
NDP	UniProtKB:Q00604	Norrin
C4A	UniProtKB:P0C0L4	Complement C4-A
MAPK9	UniProtKB:P45984	Mitogen-activated protein kinase 9
MSMP	UniProtKB:Q1L6U9	Prostate-associated microseminoprotein
TRIM14	UniProtKB:Q14142	Tripartite motif-containing protein 14
DPP9	UniProtKB:Q86TI2	Dipeptidyl peptidase 9
DPP9	UniProtKB:Q86TI2	Dipeptidyl peptidase 9
PLA2G10	UniProtKB:O15496	Group 10 secretory phospholipase A2
IRF5	UniProtKB:Q13568	Interferon regulatory factor 5
CCL16	UniProtKB:O15467	C-C motif chemokine 16
TLR3	UniProtKB:O15455	Toll-like receptor 3
TLR3	UniProtKB:O15455	Toll-like receptor 3
CCL25	UniProtKB:O15444	C-C motif chemokine 25
PTGER1	UniProtKB:P34995	Prostaglandin E2 receptor EP1 subtype
CNR2	UniProtKB:P34972	Cannabinoid receptor 2
TCIRG1	UniProtKB:Q13488	V-type proton ATPase 116 kDa subunit a 3
IL18R1	UniProtKB:Q13478	Interleukin-18 receptor 1
CYBB	UniProtKB:P04839	Cytochrome b-245 heavy chain
CCR4	UniProtKB:P51679	C-C chemokine receptor type 4
CCR3	UniProtKB:P51677	C-C chemokine receptor type 3
CCL11	UniProtKB:P51671	Eotaxin
CCL11	UniProtKB:P51671	Eotaxin
NRROS	UniProtKB:Q86YC3	Transforming growth factor beta activator LRRC33
ASS1	UniProtKB:P00966	Argininosuccinate synthase
TLR8	UniProtKB:Q9NR97	Toll-like receptor 8
CYP26B1	UniProtKB:Q9NR63	Cytochrome P450 26B1
ASH1L	UniProtKB:Q9NR48	Histone-lysine N-methyltransferase ASH1L
MRGPRX1	UniProtKB:Q96LB2	Mas-related G-protein coupled receptor member X1
PLA2G2D	UniProtKB:Q9UNK4	Group IID secretory phospholipase A2
CELA1	UniProtKB:Q9UNI1	Chymotrypsin-like elastase family member 1
RTN4	UniProtKB:Q9NQC3	Reticulon-4
GPR33	UniProtKB:Q49SQ1	Probable G-protein coupled receptor 33
WNT5A	UniProtKB:P41221	Protein Wnt-5a
EPG5	UniProtKB:Q9HCE0	Ectopic P granules protein 5 homolog
FFAR4	UniProtKB:Q5NUL3	Free fatty acid receptor 4
NAIP	UniProtKB:Q13075	Baculoviral IAP repeat-containing protein 1
NAIP	UniProtKB:Q13075	Baculoviral IAP repeat-containing protein 1
GSDMA	UniProtKB:Q96QA5	Gasdermin-A
GSDMA	UniProtKB:Q96QA5	Gasdermin-A
GSDMA	UniProtKB:Q96QA5	Gasdermin-A
GSDMA	UniProtKB:Q96QA5	Gasdermin-A
GSDMA	UniProtKB:Q96QA5	Gasdermin-A
SETD4	UniProtKB:Q9NVD3	SET domain-containing protein 4
GBP5	UniProtKB:Q96PP8	Guanylate-binding protein 5
CAMP	UniProtKB:P49913	Cathelicidin antimicrobial peptide
FKRP	UniProtKB:Q9H9S5	Ribitol 5-phosphate transferase FKRP
HSPG2	UniProtKB:P98160	Basement membrane-specific heparan sulfate proteoglycan core protein
ELF3	UniProtKB:P78545	ETS-related transcription factor Elf-3
IL1R1	UniProtKB:P14778	Interleukin-1 receptor type 1
CD163	UniProtKB:Q86VB7	Scavenger receptor cysteine-rich type 1 protein M130
IL1RL2	UniProtKB:Q9HB29	Interleukin-1 receptor-like 2
TAC4	UniProtKB:Q86UU9	Tachykinin-4
NKIRAS2	UniProtKB:Q9NYR9	NF-kappa-B inhibitor-interacting Ras-like protein 2
PLA2G3	UniProtKB:Q9NZ20	Group 3 secretory phospholipase A2
MAP3K20	UniProtKB:Q9NYL2	Mitogen-activated protein kinase kinase kinase 20
MAP3K20	UniProtKB:Q9NYL2	Mitogen-activated protein kinase kinase kinase 20
TLR7	UniProtKB:Q9NYK1	Toll-like receptor 7
TAB2	UniProtKB:Q9NYJ8	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2
FOLR2	UniProtKB:P14207	Folate receptor beta
CXCR4	UniProtKB:P61073	C-X-C chemokine receptor type 4
SPHK1	UniProtKB:Q9NYA1	Sphingosine kinase 1
SLAMF1	UniProtKB:Q13291	Signaling lymphocytic activation molecule
PTGDR	UniProtKB:Q13258	Prostaglandin D2 receptor
PLSCR1	UniProtKB:O15162	Phospholipid scramblase 1
TSPAN18	UniProtKB:Q96SJ8	Tetraspanin-18
CHUK	UniProtKB:O15111	Inhibitor of nuclear factor kappa-B kinase subunit alpha
STAB1	UniProtKB:Q9NY15	Stabilin-1
UMOD	UniProtKB:P07911	Uromodulin
TNFAIP6	UniProtKB:P98066	Tumor necrosis factor-inducible gene 6 protein
HDAC5	UniProtKB:Q9UQL6	Histone deacetylase 5
NR3C1	UniProtKB:P04150	Glucocorticoid receptor
PLA2G2E	UniProtKB:Q9NZK7	Group IIE secretory phospholipase A2
IL36G	UniProtKB:Q9NZH8	Interleukin-36 gamma
IL36B	UniProtKB:Q9NZH7	Interleukin-36 beta
IL37	UniProtKB:Q9NZH6	Interleukin-37
CD68	UniProtKB:P34810	Macrosialin
TREM2	UniProtKB:Q9NZC2	Triggering receptor expressed on myeloid cells 2
TREM2	UniProtKB:Q9NZC2	Triggering receptor expressed on myeloid cells 2
TREM2	UniProtKB:Q9NZC2	Triggering receptor expressed on myeloid cells 2
TREM2	UniProtKB:Q9NZC2	Triggering receptor expressed on myeloid cells 2
TREM2	UniProtKB:Q9NZC2	Triggering receptor expressed on myeloid cells 2
TREM2	UniProtKB:Q9NZC2	Triggering receptor expressed on myeloid cells 2
TREM2	UniProtKB:Q9NZC2	Triggering receptor expressed on myeloid cells 2
ANXA1	UniProtKB:P04083	Annexin A1
MIF	UniProtKB:P14174	Macrophage migration inhibitory factor
IL22	UniProtKB:Q9GZX6	Interleukin-22
IL22	UniProtKB:Q9GZX6	Interleukin-22
CCL4	UniProtKB:P13236	C-C motif chemokine 4
HNRNPA0	UniProtKB:Q13151	Heterogeneous nuclear ribonucleoprotein A0
KDM6B	UniProtKB:O15054	Lysine-specific demethylase 6B
RAB44	UniProtKB:Q7Z6P3	Ras-related protein Rab-44
RAB44	UniProtKB:Q7Z6P3	Ras-related protein Rab-44
CASP6	UniProtKB:P55212	Caspase-6
NFKB1	UniProtKB:P19838	Nuclear factor NF-kappa-B p105 subunit
ITGB6	UniProtKB:P18564	Integrin beta-6
CXCL9	UniProtKB:Q07325	C-X-C motif chemokine 9
IL1RN	UniProtKB:P18510	Interleukin-1 receptor antagonist protein
IL1RN	UniProtKB:P18510	Interleukin-1 receptor antagonist protein
IL2RA	UniProtKB:P01589	Interleukin-2 receptor subunit alpha
IL2RA	UniProtKB:P01589	Interleukin-2 receptor subunit alpha
EPO	UniProtKB:P01588	Erythropoietin
IL1B	UniProtKB:P01584	Interleukin-1 beta
IL1B	UniProtKB:P01584	Interleukin-1 beta
IL1B	UniProtKB:P01584	Interleukin-1 beta
IL1B	UniProtKB:P01584	Interleukin-1 beta
IL1B	UniProtKB:P01584	Interleukin-1 beta
IL1B	UniProtKB:P01584	Interleukin-1 beta
IL1A	UniProtKB:P01583	Interleukin-1 alpha
IL1A	UniProtKB:P01583	Interleukin-1 alpha
IL1A	UniProtKB:P01583	Interleukin-1 alpha
GRN	UniProtKB:P28799	Progranulin
GRN	UniProtKB:P28799	Progranulin
IFNG	UniProtKB:P01579	Interferon gamma
IFNG	UniProtKB:P01579	Interferon gamma
IFNG	UniProtKB:P01579	Interferon gamma
IFNG	UniProtKB:P01579	Interferon gamma
IFNG	UniProtKB:P01579	Interferon gamma
IFNG	UniProtKB:P01579	Interferon gamma
IFNG	UniProtKB:P01579	Interferon gamma
IFNG	UniProtKB:P01579	Interferon gamma
IFNA2	UniProtKB:P01563	Interferon alpha-2
ELANE	UniProtKB:P08246	Neutrophil elastase
ELANE	UniProtKB:P08246	Neutrophil elastase
ELANE	UniProtKB:P08246	Neutrophil elastase
ELANE	UniProtKB:P08246	Neutrophil elastase
HDAC4	UniProtKB:P56524	Histone deacetylase 4
UNC13D	UniProtKB:Q70J99	Protein unc-13 homolog D
KDM4D	UniProtKB:Q6B0I6	Lysine-specific demethylase 4D
IGHG1	UniProtKB:P01857	Immunoglobulin heavy constant gamma 1
IGHE	UniProtKB:P01854	Immunoglobulin heavy constant epsilon
IGHE	UniProtKB:P01854	Immunoglobulin heavy constant epsilon
IGHE	UniProtKB:P01854	Immunoglobulin heavy constant epsilon
C5AR2	UniProtKB:Q9P296	C5a anaphylatoxin chemotactic receptor 2
CD14	UniProtKB:P08571	Monocyte differentiation antigen CD14
VPS54	UniProtKB:Q9P1Q0	Vacuolar protein sorting-associated protein 54
APCS	UniProtKB:P02743	Serum amyloid P-component
C1QA	UniProtKB:P02745	Complement C1q subcomponent subunit A
C1QA	UniProtKB:P02745	Complement C1q subcomponent subunit A
FN1	UniProtKB:P02751	Fibronectin
PPBP	UniProtKB:P02775	Platelet basic protein
CXCL10	UniProtKB:P02778	C-X-C motif chemokine 10
XCR1	UniProtKB:P46094	Chemokine XC receptor 1
PTN	UniProtKB:P21246	Pleiotrophin
P2RX7	UniProtKB:Q99572	P2X purinoceptor 7
CCL13	UniProtKB:Q99616	C-C motif chemokine 13
CCR2	UniProtKB:P41597	C-C chemokine receptor type 2
CCR2	UniProtKB:P41597	C-C chemokine receptor type 2
TRIM55	UniProtKB:Q9BYV6	Tripartite motif-containing protein 55
FCGR2C	UniProtKB:P31995	Low affinity immunoglobulin gamma Fc region receptor II-c
FCGR2B	UniProtKB:P31994	Low affinity immunoglobulin gamma Fc region receptor II-b
FCGR2B	UniProtKB:P31994	Low affinity immunoglobulin gamma Fc region receptor II-b
TGFB1	UniProtKB:P01137	Transforming growth factor beta-1 proprotein
FOS	UniProtKB:P01100	Protein c-Fos
LACC1	UniProtKB:Q8IV20	Purine nucleoside phosphorylase LACC1
LIPA	UniProtKB:P38571	Lysosomal acid lipase/cholesteryl ester hydrolase
LIPA	UniProtKB:P38571	Lysosomal acid lipase/cholesteryl ester hydrolase
AKT1	UniProtKB:P31749	RAC-alpha serine/threonine-protein kinase
MBL2	UniProtKB:P11226	Mannose-binding protein C
ITGAM	UniProtKB:P11215	Integrin alpha-M
BMPR1B	UniProtKB:O00238	Bone morphogenetic protein receptor type-1B
FPR1	UniProtKB:P21462	fMet-Leu-Phe receptor
TNF	UniProtKB:P01375	Tumor necrosis factor
TNF	UniProtKB:P01375	Tumor necrosis factor
TNF	UniProtKB:P01375	Tumor necrosis factor
TNF	UniProtKB:P01375	Tumor necrosis factor
TNF	UniProtKB:P01375	Tumor necrosis factor
TNF	UniProtKB:P01375	Tumor necrosis factor
TNF	UniProtKB:P01375	Tumor necrosis factor
TNF	UniProtKB:P01375	Tumor necrosis factor
TNF	UniProtKB:P01375	Tumor necrosis factor
CHI3L1	UniProtKB:P36222	Chitinase-3-like protein 1
INS	UniProtKB:P01308	Insulin
ALOX5	UniProtKB:P09917	Polyunsaturated fatty acid 5-lipoxygenase
ALOX5	UniProtKB:P09917	Polyunsaturated fatty acid 5-lipoxygenase
ALOX5	UniProtKB:P09917	Polyunsaturated fatty acid 5-lipoxygenase
NLRP9	UniProtKB:Q7RTR0	NACHT, LRR and PYD domains-containing protein 9
IL6R	UniProtKB:P08887	Interleukin-6 receptor subunit alpha
EIF2AK1	UniProtKB:Q9BQI3	Eukaryotic translation initiation factor 2-alpha kinase 1
KRT16	UniProtKB:P08779	Keratin, type I cytoskeletal 16
TLR2	UniProtKB:O60603	Toll-like receptor 2
TLR2	UniProtKB:O60603	Toll-like receptor 2
TSPAN2	UniProtKB:O60636	Tetraspanin-2
SERPINF2	UniProtKB:P08697	Alpha-2-antiplasmin
FCGR3A	UniProtKB:P08637	Low affinity immunoglobulin gamma Fc region receptor III-A
FCGR3A	UniProtKB:P08637	Low affinity immunoglobulin gamma Fc region receptor III-A
FCGR3A	UniProtKB:P08637	Low affinity immunoglobulin gamma Fc region receptor III-A
FCGR3A	UniProtKB:P08637	Low affinity immunoglobulin gamma Fc region receptor III-A
HCK	UniProtKB:P08631	Tyrosine-protein kinase HCK
TNFAIP3	UniProtKB:P21580	Tumor necrosis factor alpha-induced protein 3
ANO6	UniProtKB:Q4KMQ2	Anoctamin-6
KNG1	UniProtKB:P01042	Kininogen-1
PIK3CG	UniProtKB:P48736	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform
TIMP1	UniProtKB:P01033	Metalloproteinase inhibitor 1
C5	UniProtKB:P01031	Complement C5
C3	UniProtKB:P01024	Complement C3
A2M	UniProtKB:P01023	Alpha-2-macroglobulin
A2M	UniProtKB:P01023	Alpha-2-macroglobulin
SERPINA3	UniProtKB:P01011	Alpha-1-antichymotrypsin
SERPINA3	UniProtKB:P01011	Alpha-1-antichymotrypsin
SERPINA1	UniProtKB:P01009	Alpha-1-antitrypsin
IFNGR2	UniProtKB:P38484	Interferon gamma receptor 2
F2RL1	UniProtKB:P55085	Proteinase-activated receptor 2
AIF1	UniProtKB:P55008	Allograft inflammatory factor 1
AIF1	UniProtKB:P55008	Allograft inflammatory factor 1
AIF1	UniProtKB:P55008	Allograft inflammatory factor 1
LBP	UniProtKB:P18428	Lipopolysaccharide-binding protein
LBP	UniProtKB:P18428	Lipopolysaccharide-binding protein
LBP	UniProtKB:P18428	Lipopolysaccharide-binding protein
LBP	UniProtKB:P18428	Lipopolysaccharide-binding protein
PXK	UniProtKB:Q7Z7A4	PX domain-containing protein kinase-like protein
CXCL13	UniProtKB:O43927	C-X-C motif chemokine 13
CXCL13	UniProtKB:O43927	C-X-C motif chemokine 13
CHST1	UniProtKB:O43916	Carbohydrate sulfotransferase 1
TYROBP	UniProtKB:O43914	TYRO protein tyrosine kinase-binding protein
TYROBP	UniProtKB:O43914	TYRO protein tyrosine kinase-binding protein
TYROBP	UniProtKB:O43914	TYRO protein tyrosine kinase-binding protein
CXCR3	UniProtKB:P49682	C-X-C chemokine receptor type 3
CASP4	UniProtKB:P49662	Caspase-4
CASP4	UniProtKB:P49662	Caspase-4
CASP4	UniProtKB:P49662	Caspase-4
CCR1	UniProtKB:P32246	C-C chemokine receptor type 1
IL18	UniProtKB:Q14116	Interleukin-18
IL18	UniProtKB:Q14116	Interleukin-18
SAA4	UniProtKB:P35542	Serum amyloid A-4 protein
ADORA2A	UniProtKB:P29274	Adenosine receptor A2a
ADORA2A	UniProtKB:P29274	Adenosine receptor A2a
NLRP6	UniProtKB:P59044	NACHT, LRR and PYD domains-containing protein 6
NLRP6	UniProtKB:P59044	NACHT, LRR and PYD domains-containing protein 6
NLRP6	UniProtKB:P59044	NACHT, LRR and PYD domains-containing protein 6
NLRP6	UniProtKB:P59044	NACHT, LRR and PYD domains-containing protein 6
NLRP6	UniProtKB:P59044	NACHT, LRR and PYD domains-containing protein 6
NLRP6	UniProtKB:P59044	NACHT, LRR and PYD domains-containing protein 6
MTOR	UniProtKB:P42345	Serine/threonine-protein kinase mTOR
CASP8	UniProtKB:Q14790	Caspase-8
CD40	UniProtKB:P25942	Tumor necrosis factor receptor superfamily member 5
NOTCH1	UniProtKB:P46531	Neurogenic locus notch homolog protein 1
ADGRE5	UniProtKB:P48960	Adhesion G protein-coupled receptor E5
MDK	UniProtKB:P21741	Midkine
MDK	UniProtKB:P21741	Midkine
CALCA	UniProtKB:P01258	Calcitonin
TBXA2R	UniProtKB:P21731	Thromboxane A2 receptor
C5AR1	UniProtKB:P21730	C5a anaphylatoxin chemotactic receptor 1
C5AR1	UniProtKB:P21730	C5a anaphylatoxin chemotactic receptor 1
C5AR1	UniProtKB:P21730	C5a anaphylatoxin chemotactic receptor 1
PRKCQ	UniProtKB:Q04759	Protein kinase C theta type
C4B	UniProtKB:P0C0L5	Complement C4-B
NOTCH2	UniProtKB:Q04721	Neurogenic locus notch homolog protein 2
REG3G	UniProtKB:Q6UW15	Regenerating islet-derived protein 3-gamma
CRHBP	UniProtKB:P24387	Corticotropin-releasing factor-binding protein
HMGB1	UniProtKB:P09429	High mobility group protein B1
HMGB1	UniProtKB:P09429	High mobility group protein B1
P2RX1	UniProtKB:P51575	P2X purinoceptor 1
TICAM2	UniProtKB:Q86XR7	TIR domain-containing adapter molecule 2
IL6	UniProtKB:P05231	Interleukin-6
IL6	UniProtKB:P05231	Interleukin-6
IL6	UniProtKB:P05231	Interleukin-6
IL6	UniProtKB:P05231	Interleukin-6
CD180	UniProtKB:Q99467	CD180 antigen
TIRAP	UniProtKB:P58753	Toll/interleukin-1 receptor domain-containing adapter protein
CCRL2	UniProtKB:O00421	C-C chemokine receptor-like 2
CCRL2	UniProtKB:O00421	C-C chemokine receptor-like 2
DAB2IP	UniProtKB:Q5VWQ8	Disabled homolog 2-interacting protein
B4GALT1	UniProtKB:P15291	Beta-1,4-galactosyltransferase 1
IFNGR1	UniProtKB:P15260	Interferon gamma receptor 1
IFNGR1	UniProtKB:P15260	Interferon gamma receptor 1
IL9	UniProtKB:P15248	Interleukin-9
IL25	UniProtKB:Q9H293	Interleukin-25
C3AR1	UniProtKB:Q16581	C3a anaphylatoxin chemotactic receptor
ACKR1	UniProtKB:Q16570	Atypical chemokine receptor 1
CAMK4	UniProtKB:Q16566	Calcium/calmodulin-dependent protein kinase type IV
IL17A	UniProtKB:Q16552	Interleukin-17A
EGFR	UniProtKB:P00533	Epidermal growth factor receptor
ZNF580	UniProtKB:Q9UK33	Zinc finger protein 580
APIP	UniProtKB:Q96GX9	Methylthioribulose-1-phosphate dehydratase
SAA2	UniProtKB:P0DJI9	Serum amyloid A-2 protein
SAA1	UniProtKB:P0DJI8	Serum amyloid A-1 protein
MACIR	UniProtKB:Q96GV9	Macrophage immunometabolism regulator
TRIL	UniProtKB:Q7L0X0	TLR4 interactor with leucine rich repeats
BLNK	UniProtKB:Q8WV28	B-cell linker protein
CCL19	UniProtKB:Q99731	C-C motif chemokine 19
CCL19	UniProtKB:Q99731	C-C motif chemokine 19
IL20RB	UniProtKB:Q6UXL0	Interleukin-20 receptor subunit beta
NFKBIZ	UniProtKB:Q9BYH8	NF-kappa-B inhibitor zeta
NFKBIZ	UniProtKB:Q9BYH8	NF-kappa-B inhibitor zeta
GSDMC	UniProtKB:Q9BYG8	Gasdermin-C
GSDMC	UniProtKB:Q9BYG8	Gasdermin-C
GSDMC	UniProtKB:Q9BYG8	Gasdermin-C
ADCY1	UniProtKB:Q08828	Adenylate cyclase type 1
TLR10	UniProtKB:Q9BXR5	Toll-like receptor 10
CLEC7A	UniProtKB:Q9BXN2	C-type lectin domain family 7 member A
IRGM	UniProtKB:A1A4Y4	Immunity-related GTPase family M protein
CD47	UniProtKB:Q08722	Leukocyte surface antigen CD47
JAM3	UniProtKB:Q9BX67	Junctional adhesion molecule C
APOL2	UniProtKB:Q9BQE5	Apolipoprotein L2
IL5RA	UniProtKB:Q01344	Interleukin-5 receptor subunit alpha
NR4A1	UniProtKB:P22736	Nuclear receptor subfamily 4immunitygroup A member 1
RELB	UniProtKB:Q01201	Transcription factor RelB
HIF1A	UniProtKB:Q16665	Hypoxia-inducible factor 1-alpha
IFI27	UniProtKB:P40305	Interferon alpha-inducible protein 27, mitochondrial
PRKCZ	UniProtKB:Q05513	Protein kinase C zeta type
NCR3	UniProtKB:O14931	Natural cytotoxicity triggering receptor 3
IKBKB	UniProtKB:O14920	Inhibitor of nuclear factor kappa-B kinase subunit beta
PRDX5	UniProtKB:P30044	Peroxiredoxin-5, mitochondrial
ORM2	UniProtKB:P19652	Alpha-1-acid glycoprotein 2
IL17C	UniProtKB:Q9P0M4	Interleukin-17C
SLAMF8	UniProtKB:Q9P0V8	SLAM family member 8
JAK2	UniProtKB:O60674	Tyrosine-protein kinase JAK2
TLR4	UniProtKB:O00206	Toll-like receptor 4
TLR4	UniProtKB:O00206	Toll-like receptor 4
TLR4	UniProtKB:O00206	Toll-like receptor 4
AP3B1	UniProtKB:O00203	AP-3 complex subunit beta-1
GPER1	UniProtKB:Q99527	G-protein coupled estrogen receptor 1
CHIA	UniProtKB:Q9BZP6	Acidic mammalian chitinase
PTX3	UniProtKB:P26022	Pentraxin-related protein PTX3
TICAM1	UniProtKB:Q8IUC6	TIR domain-containing adapter molecule 1
IL17D	UniProtKB:Q8TAD2	Interleukin-17D
GGT5	UniProtKB:P36269	Glutathione hydrolase 5 proenzyme
CAMK1D	UniProtKB:Q8IU85	Calcium/calmodulin-dependent protein kinase type 1D
PTGFR	UniProtKB:P43088	Prostaglandin F2-alpha receptor
SMAD1	UniProtKB:Q15797	Mothers against decapentaplegic homolog 1
GPR68	UniProtKB:Q15743	Ovarian cancer G-protein coupled receptor 1
LTB4R	UniProtKB:Q15722	Leukotriene B4 receptor 1
IL17F	UniProtKB:Q96PD4	Interleukin-17F
ACER3	UniProtKB:Q9NUN7	Alkaline ceramidase 3
NAGLU	UniProtKB:P54802	Alpha-N-acetylglucosaminidase
NAGLU	UniProtKB:P54802	Alpha-N-acetylglucosaminidase
HAMP	UniProtKB:P81172	Hepcidin
NLRP3	UniProtKB:Q96P20	NACHT, LRR and PYD domains-containing protein 3
NLRP3	UniProtKB:Q96P20	NACHT, LRR and PYD domains-containing protein 3
NLRP3	UniProtKB:Q96P20	NACHT, LRR and PYD domains-containing protein 3
NLRP3	UniProtKB:Q96P20	NACHT, LRR and PYD domains-containing protein 3
NLRP3	UniProtKB:Q96P20	NACHT, LRR and PYD domains-containing protein 3
NLRP3	UniProtKB:Q96P20	NACHT, LRR and PYD domains-containing protein 3
NLRP3	UniProtKB:Q96P20	NACHT, LRR and PYD domains-containing protein 3
NLRP3	UniProtKB:Q96P20	NACHT, LRR and PYD domains-containing protein 3
NLRP3	UniProtKB:Q96P20	NACHT, LRR and PYD domains-containing protein 3
NLRP3	UniProtKB:Q96P20	NACHT, LRR and PYD domains-containing protein 3
NLRP3	UniProtKB:Q96P20	NACHT, LRR and PYD domains-containing protein 3
NLRP3	UniProtKB:Q96P20	NACHT, LRR and PYD domains-containing protein 3
NLRP3	UniProtKB:Q96P20	NACHT, LRR and PYD domains-containing protein 3
NLRP3	UniProtKB:Q96P20	NACHT, LRR and PYD domains-containing protein 3
NLRP3	UniProtKB:Q96P20	NACHT, LRR and PYD domains-containing protein 3
NLRP3	UniProtKB:Q96P20	NACHT, LRR and PYD domains-containing protein 3
NLRP3	UniProtKB:Q96P20	NACHT, LRR and PYD domains-containing protein 3
NLRP3	UniProtKB:Q96P20	NACHT, LRR and PYD domains-containing protein 3
NLRP3	UniProtKB:Q96P20	NACHT, LRR and PYD domains-containing protein 3
NLRP3	UniProtKB:Q96P20	NACHT, LRR and PYD domains-containing protein 3
NLRP3	UniProtKB:Q96P20	NACHT, LRR and PYD domains-containing protein 3
NLRP3	UniProtKB:Q96P20	NACHT, LRR and PYD domains-containing protein 3
NLRP3	UniProtKB:Q96P20	NACHT, LRR and PYD domains-containing protein 3
NLRP3	UniProtKB:Q96P20	NACHT, LRR and PYD domains-containing protein 3
NLRP3	UniProtKB:Q96P20	NACHT, LRR and PYD domains-containing protein 3
THBS1	UniProtKB:P07996	Thrombospondin-1
THBS1	UniProtKB:P07996	Thrombospondin-1
LYN	UniProtKB:P07948	Tyrosine-protein kinase Lyn
LYN	UniProtKB:P07948	Tyrosine-protein kinase Lyn
ALOX5AP	UniProtKB:P20292	Arachidonate 5-lipoxygenase-activating protein
GPR32	UniProtKB:O75388	Probable G-protein coupled receptor 32
FADS2	UniProtKB:O95864	Acyl-CoA 6-desaturase
EXT1	UniProtKB:Q16394	Exostosin-1
AFAP1L2	UniProtKB:Q8N4X5	Actin filament-associated protein 1-like 2
AFAP1L2	UniProtKB:Q8N4X5	Actin filament-associated protein 1-like 2
CCL5	UniProtKB:P13501	C-C motif chemokine 5
CCL2	UniProtKB:P13500	C-C motif chemokine 2
TREX1	UniProtKB:Q9NSU2	Three-prime repair exonuclease 1
GATA3	UniProtKB:P23771	Trans-acting T-cell-specific transcription factor GATA-3
GATA3	UniProtKB:P23771	Trans-acting T-cell-specific transcription factor GATA-3
GATA3	UniProtKB:P23771	Trans-acting T-cell-specific transcription factor GATA-3
AGTR2	UniProtKB:P50052	Type-2 angiotensin II receptor
CYBA	UniProtKB:P13498	Cytochrome b-245 light chain
PARP4	UniProtKB:Q9UKK3	Protein mono-ADP-ribosyltransferase PARP4
RBPJ	UniProtKB:Q06330	Recombining binding protein suppressor of hairless
RPS6KA5	UniProtKB:O75582	Ribosomal protein S6 kinase alpha-5
CSF1	UniProtKB:P09603	Macrophage colony-stimulating factor 1
HMOX1	UniProtKB:P09601	Heme oxygenase 1
KLRG1	UniProtKB:Q96E93	Killer cell lectin-like receptor subfamily G member 1
POLB	UniProtKB:P06746	DNA polymerase beta
SPINK7	UniProtKB:P58062	Serine protease inhibitor Kazal-type 7
S100A9	UniProtKB:P06702	Protein S100-A9
S100A9	UniProtKB:P06702	Protein S100-A9
S100A9	UniProtKB:P06702	Protein S100-A9
S100A9	UniProtKB:P06702	Protein S100-A9
MAP2K3	UniProtKB:P46734	Dual specificity mitogen-activated protein kinase kinase 3
TNIP1	UniProtKB:Q15025	TNFAIP3-interacting protein 1
ZC3H12A	UniProtKB:Q5D1E8	Endoribonuclease ZC3H12A
C2CD4A	UniProtKB:Q8NCU7	C2 calcium-dependent domain-containing protein 4A
