GSE91061,GSE61992,TCGA-SKCM,GSE91061|GSE61992
DTX2,,,
ACAP2,,,
CARD17P,,,
EXOC1,,,
ZNF32-AS2,,,
TRAPPC11,,,
SFT2D1,,,
PCNX1,,,
GAR1,,,
GPSM3,,,
FXYD3,,,
NIPA2,,,
PACRGL,,,
SFSWAP,,,
CIT,,,
TMEM14C,,,
ELMO2,,,
LYN,,,
LZTR1,,,
TRAF3IP2,,,
KMT2D,,,
KMT5A,,,
OSTM1,,,
TXNDC12,,,
MRPL46,,,
SRSF3,,,
TMEM185B,,,
ZDHHC18,,,
C9orf72,,,
MKNK1-AS1,,,
MTMR1,,,
MICU2,,,
COG3,,,
INE1,,,
ABTB2,,,
SETD4,,,
PPIF,,,
CNPY2,,,
CPB2-AS1,,,
LRCH4,,,
C1GALT1,,,
SNORA55,,,
SCP2,,,
GRPEL1,,,
CLEC4A,,,
RAD51AP1,,,
IMP4,,,
C6orf136,,,
COMMD4,,,
UFM1,,,
IFIT2,,,
NLK,,,
MTX2,,,
RAP1GDS1,,,
ALG3,,,
USP22,,,
TMEM104,,,
RPP25,,,
MTMR6,,,
SDHAP4,,,
ASS1,,,
LLGL1,,,
STX16,,,
ANAPC7,,,
MTIF3,,,
NFXL1,,,
SLC4A2,,,
COPRS,,,
TRPV3,,,
GABBR1,,,
PLEKHG3,,,
ATG16L2,,,
DDX39A,,,
FBXO22,,,
RTKN,,,
NDUFB2,,,
MED14,,,
PIP5K1A,,,
WIPI2,,,
MAU2,,,
RELT,,,
SLC25A36,,,
RUNDC3A,,,
CASD1,,,
ALYREF,,,
NAGS,,,
SNX12,,,
SOCS4,,,
COG1,,,
NYAP1,,,
WDR24,,,
GABARAPL2,,,
PIP4K2B,,,
CTSC,,,
ERVK13-1,,,
ZNF639,,,
TNRC18,,,
NOL12,,,
ATG9B,,,
DHX35,,,
CLASRP,,,
PHF21A,,,
PIGX,,,
EFHC1,,,
EMC7,,,
FHL3,,,
SMIM7,,,
TRMT1,,,
TTC36,,,
LINC-PINT,,,
PFKFB3,,,
AADAC,,,
RAB28,,,
SUGP1,,,
UBN2,,,
LINC01619,,,
DGKG,,,
CXXC5,,,
GARS1-DT,,,
CSK,,,
SLC39A11,,,
HPRT1,,,
KDM5A,,,
LHFPL1,,,
TNFRSF10C,,,
RAB35,,,
TIMM50,,,
DRD1,,,
SLC2A3,,,
POLR1H,,,
MYO19,,,
UQCC4,,,
PTPN9,,,
RNASE4,,,
SLC22A5,,,
RNF149,,,
TMEM79,,,
MIR25,,,
SMIM10L1,,,
LINC00997,,,
SYNGR2,,,
RABGEF1P1,,,
SDHAF3,,,
C3orf62,,,
UBE2D3,,,
SRP54,,,
TTLL4,,,
RORC,,,
SACS,,,
FMN1,,,
WDFY3,,,
UBA6,,,
PCID2,,,
PSMD10,,,
SMARCAD1,,,
CRMP1,,,
BEX3,,,
POLR2J,,,
METTL23,,,
CRNDE,,,
HAUS2,,,
MPP2,,,
RRN3,,,
DENND1B,,,
RNF41,,,
SUPT7L,,,
DBF4B,,,
SBNO2,,,
LEPR,,,
ATAT1,,,
CSRNP1,,,
TFPI,,,
TET2,,,
NFKBIZ,,,
FAM13A-AS1,,,
NEPRO,,,
OGFR,,,
HOXB9,,,
SCCPDH,,,
PTGR1,,,
RAB11B-AS1,,,
SF3B4,,,
SPART,,,
PPP4R2,,,
NAA16,,,
RFC2,,,
SCARNA6,,,
COPS7A,,,
PREX1,,,
DCUN1D4,,,
RNF157,,,
NUBPL,,,
LINC00622,,,
SCYL2,,,
TFIP11,,,
PARP12,,,
MOSPD2,,,
RTN4IP1,,,
SRSF6,,,
CDK16,,,
SCNM1,,,
YRDC,,,
ZFC3H1,,,
KRBOX5,,,
PRPS1,,,
SH2B1,,,
RAMAC,,,
SRGAP2C,,,
ZNF343,,,
PCNA,,,
ETV3,,,
CASP4,,,
LTB4R,,,
SERPING1,,,
GRIP2,,,
ACO1,,,
CAVIN2,,,
PSMD6-AS2,,,
CLIC1,,,
CCND3,,,
SLC25A37,,,
MFSD11,,,
GPSM1,,,
PARP6,,,
NFKBIA,,,
LYAR,,,
MTHFSD,,,
TSNAX,,,
OXER1,,,
LHPP,,,
ZGRF1,,,
TRRAP,,,
DDX21,,,
TM2D3,,,
EIF4EBP1,,,
ABT1,,,
MED25,,,
GTF3C3,,,
ESS2,,,
OLIG2,,,
RIDA,,,
TMEM51,,,
AURKB,,,
AGTPBP1,,,
KCNMB3,,,
DUSP6,,,
ATP6V0A2,,,
ADH1B,,,
NFAT5,,,
F7,,,
SENP3,,,
AKAP8,,,
PLRG1,,,
TTI1,,,
ERV3-1,,,
HERC3,,,
E2F6,,,
ELOF1,,,
THOC6,,,
SH2B3,,,
SYNGAP1,,,
RHOT2,,,
HSD11B1,,,
LRR1,,,
SEC23B,,,
INKA1,,,
PSMB6,,,
ABHD17C,,,
CXorf65,,,
TMEM176A,,,
SLC30A10,,,
SEC22A,,,
GAS8,,,
HOXB4,,,
IER3,,,
DERL2,,,
CUL9,,,
ZSWIM6,,,
MRPL30,,,
TFDP1,,,
ZNF286A,,,
TMX3,,,
GK,,,
MYNN,,,
ALG11,,,
MIR3613,,,
JRK,,,
COG7,,,
RELB,,,
WDR1,,,
BTN2A3P,,,
NR2F1,,,
SNORD91A,,,
FOXK1,,,
ABCB8,,,
PATL2,,,
C2,,,
MRM2,,,
RBBP7,,,
NOP14,,,
CARMIL3,,,
FAM157A,,,
ENPP7,,,
F11R,,,
ARHGAP26,,,
C2CD2L,,,
NOTCH2,,,
CD96,,,
MEF2A,,,
COPG2,,,
DGCR2,,,
TSPYL2,,,
FAM131A,,,
ATXN7L3,,,
NUP98,,,
NABP1,,,
TMEM260,,,
CSNK2A2,,,
MIR4632,,,
ARHGAP27,,,
REL,,,
CCDC59,,,
ZC3H12A,,,
MED15,,,
ACAD9,,,
TMEM107,,,
ERF,,,
MRPS31,,,
SNORD1A,,,
CDC27,,,
ASPHD2,,,
TEP1,,,
ETV4,,,
SLC16A2,,,
CNIH4,,,
CSRNP2,,,
CLRN3,,,
SNHG33,,,
SNORD2,,,
LCLAT1,,,
HSD17B4,,,
VPS9D1-AS1,,,
DNAAF5,,,
NBEAL2,,,
WDFY2,,,
SYNJ1,,,
PMPCB,,,
APBB3,,,
LBR,,,
TSEN54,,,
HELB,,,
PNLIPRP3,,,
E4F1,,,
METTL8,,,
CLCN5,,,
CPD,,,
HGD,,,
ZFP36,,,
CYP39A1,,,
TMEM234,,,
PHYH,,,
MYSM1,,,
ETNK1,,,
GMEB2,,,
CASP1,,,
CAMKK2,,,
TRAP1,,,
PCBP2,,,
DNAJA3,,,
ZNF862,,,
WIZ,,,
PLEC,,,
H2BC18,,,
ANGPTL6,,,
TSFM,,,
FASTK,,,
TUBGCP3,,,
ACBD6,,,
ADO,,,
FKBP1AP1,,,
MIR4435-2HG,,,
MSANTD4,,,
MPHOSPH6,,,
PAK1IP1,,,
UBN1,,,
CES1,,,
BICD2,,,
SLC38A2,,,
DAAM2,,,
HSD17B2,,,
FAM133B,,,
MRPL42,,,
NPRL3,,,
IFNGR2,,,
TUFM,,,
ABCE1,,,
GSKIP,,,
RASGRP4,,,
MTMR3,,,
BRD2,,,
SNAP23,,,
SLC26A8,,,
GPR37,,,
HOXB5,,,
CFLAR-AS1,,,
PSMA3-AS1,,,
ZNF692,,,
COLEC11,,,
VPS37B,,,
SNORD96A,,,
TRIB3,,,
SNORA70,,,
USP43,,,
FFAR2,,,
TAGAP,,,
MRPL32,,,
ALOXE3,,,
SNORD65,,,
HOXC8,,,
IRAK3,,,
KANSL2,,,
YTHDF2,,,
PPP1R9A,,,
PRICKLE3,,,
LINC01116,,,
SLC7A6,,,
UBL3,,,
WBP4,,,
GNPDA2,,,
WBP11,,,
PUS1,,,
GRB2,,,
FAAP100,,,
CCL3,,,
TUBGCP4,,,
POLR1D,,,
LRRC37A3,,,
KPNA3,,,
FIGNL1,,,
TMT1A,,,
GATAD2A,,,
PARP4,,,
VANGL2,,,
HMGCR,,,
ANKS3,,,
MESD,,,
FAM90A1,,,
SYBU,,,
C11orf54,,,
TBCCD1,,,
SIGLEC5,,,
UBE2G2,,,
STK35,,,
HILPDA,,,
CABLES2,,,
DHX15,,,
SPATA2,,,
YWHAB,,,
LPAR2,,,
RBM39,,,
VCF1,,,
ZUP1,,,
B9D1,,,
KLF2,,,
SLC1A1,,,
ITGA8,,,
LDB1,,,
ESCO2,,,
PABPC1L,,,
TUBGCP5,,,
ART4,,,
NSFL1C,,,
MTA1,,,
ZKSCAN2,,,
DNTTIP2,,,
UBE2I,,,
GIT2,,,
C3orf38,,,
KLHL20,,,
VPS35L,,,
PIK3R5,,,
ASNS,,,
FUNDC1,,,
FOXK2,,,
SDCBP2-AS1,,,
ALG1,,,
RXRG,,,
PRPF40A,,,
SMIM30,,,
PSMG4,,,
ALG13,,,
SLED1,,,
SLC27A2,,,
PPAN,,,
NUDT16L2P,,,
MIR3909,,,
PI4KAP1,,,
MSANTD2,,,
SRPK2,,,
RBP4,,,
IKBKG,,,
UPF3A,,,
MELTF,,,
ANKS4B,,,
MRPS34,,,
HPS3,,,
CDSN,,,
ADHFE1,,,
IFT56,,,
BECN1,,,
ZNF230,,,
NIPA1,,,
PRDM15,,,
CYB561,,,
USP9X,,,
SLC25A46,,,
JOSD1,,,
MIR5692C2,,,
G2E3,,,
ZDHHC13,,,
MXD1,,,
LOC646471,,,
AOC2,,,
ZBED5,,,
NR5A2,,,
CISD2,,,
SNORD43,,,
TEFM,,,
SPP2,,,
PAFAH1B1,,,
LINC02649,,,
RNF25,,,
TRAPPC6B,,,
HOXB3,,,
DDX55,,,
CLCN3,,,
NOD2,,,
TIMELESS,,,
CSF3R,,,
CENPK,,,
DTD1,,,
GPR89A,,,
PCED1A,,,
ARMC10,,,
IPO4,,,
ISG20,,,
DDX19A,,,
USP32,,,
NDST2,,,
MIS12,,,
MIR4772,,,
ADAT1,,,
UMAD1,,,
PON3,,,
GPT,,,
ACTL6A,,,
SCLT1,,,
IMMP2L,,,
FAM193B,,,
RAD52,,,
SREK1IP1,,,
NIF3L1,,,
MMP25,,,
RFXAP,,,
SCARNA9,,,
MED21,,,
NOP2,,,
PID1,,,
RNF10,,,
AMPD2,,,
TOPBP1,,,
SKIC2,,,
H2BC21,,,
SNORA24,,,
WDR53,,,
SH3KBP1,,,
ENTPD5,,,
SNORD58A,,,
ALKBH2,,,
ELMOD1,,,
CREB3L2,,,
BMP5,,,
ANKZF1,,,
SLC30A6,,,
NBDY,,,
MIR553,,,
SNORA56,,,
TCEAL8,,,
FCN3,,,
PCGF3-AS1,,,
POLR2F,,,
APOO,,,
PIBF1,,,
TAF6,,,
ACADSB,,,
ATXN7L3B,,,
SLC35B1,,,
CXCL8,,,
HCAR3,,,
NCOA5,,,
FAS,,,
DKC1,,,
GBP7,,,
NXPE3,,,
HCAR2,,,
NAPB,,,
IGSF23,,,
SOX10,,,
JMJD6,,,
PTGES3,,,
ZNF324B,,,
DNTTIP1,,,
CRCP,,,
NEDD1,,,
PROK2,,,
MEFV,,,
HPD,,,
IER5,,,
PHLDB1,,,
TOR1AIP1,,,
CCNH,,,
LMLN,,,
POLR3C,,,
TOMM5,,,
CLEC4D,,,
CEACAM3,,,
SMCR8,,,
PTPRE,,,
PRODH2,,,
PTP4A2,,,
BHMT2,,,
RBKS,,,
DIABLO,,,
GTF2IRD1,,,
TPT1-AS1,,,
MYT1,,,
GTF2A2,,,
ABCB4,,,
AFAP1L1,,,
CSF2RB,,,
PITRM1-AS1,,,
PMP2,,,
ZKSCAN4,,,
SDF2,,,
ABCC6,,,
INTS6,,,
SNHG17,,,
OSM,,,
GNMT,,,
SHCBP1,,,
FPR2,,,
CRAMP1,,,
RIPK1,,,
THAP10,,,
MLXIPL,,,
NLRC5,,,
POLG2,,,
PPWD1,,,
POLR3G,,,
LCP1,,,
SF3A1,,,
AP5Z1,,,
ACOX2,,,
PHC1,,,
ANG,,,
OGFOD1,,,
S100A1,,,
TPRA1,,,
THRSP,,,
RBM14,,,
PBDC1,,,
SNRPD1,,,
ZNF32-AS1,,,
NCOA3,,,
MGST1,,,
EEF1E1,,,
ADGRG3,,,
MAPK12,,,
PTH1R,,,
GCA,,,
SCFD2,,,
FXR2,,,
CRHBP,,,
ZNF449,,,
TRMT44,,,
ZNF205,,,
RAB5IF,,,
DPYSL5,,,
TREML3P,,,
CDK6,,,
HOXD-AS2,,,
TP53TG1,,,
EP400P1,,,
G6PC1,,,
TPPP2,,,
RNASEK-C17orf49,,,
DHX8,,,
NLRP3,,,
UBE2Q2P1,,,
PEX1,,,
HOXB-AS3,,,
TM9SF4,,,
ITGAX,,,
DIO1,,,
AAAS,,,
ZNF624,,,
ELOVL1,,,
DDC,,,
SMAD5,,,
TMEM25,,,
ARID2,,,
TNFAIP8L1,,,
ZSCAN29,,,
AMBP,,,
HS3ST3B1,,,
PSPC1,,,
SMG8,,,
TM4SF5,,,
CLCN2,,,
UGT2B15,,,
NALCN,,,
ZNF300,,,
DUS1L,,,
SNRNP48,,,
AMMECR1,,,
FRMD8,,,
RNF115,,,
ALDH6A1,,,
KRT10-AS1,,,
FBXL18,,,
GPR88,,,
NT5C,,,
FNDC8,,,
PAXBP1,,,
ARHGAP5,,,
ALDOB,,,
RAB22A,,,
EXO5,,,
ITGB3,,,
BRCA2,,,
UBXN2B,,,
NR0B2,,,
SERPINA4,,,
ZMIZ1,,,
EP400,,,
PCCA,,,
FBXO46,,,
C8orf48,,,
SCARB2,,,
ITSN2,,,
LY6S-AS1,,,
PARP1,,,
CEP83,,,
ZFAND3,,,
SLC27A3,,,
DMXL2,,,
RND1,,,
KPRP,,,
FTCD,,,
KLB,,,
PIK3C3,,,
PRAME,,,
TMPRSS6,,,
MCTP2,,,
NDUFS2,,,
MIR3153,,,
SELL,,,
BMP4,,,
MGAT4B,,,
EXOC7,,,
SCAMP2,,,
PPP2R3C,,,
C3orf70,,,
MRPS11,,,
RNASEH2B,,,
MIR3945,,,
FAM199X,,,
GAL3ST4,,,
MCOLN1,,,
MRPS17,,,
WHAMM,,,
PDS5B,,,
CNGA1,,,
LASP1NB,,,
C8B,,,
WRAP73,,,
RNF167,,,
IFT22,,,
CBR3,,,
PTGS2,,,
ADGRL1,,,
CYP2E1,,,
ZC3H11A,,,
NELFA,,,
CCZ1B,,,
HMGCS2,,,
SMLR1,,,
MON2,,,
ARHGAP17,,,
ENTPD6,,,
GLUD1P3,,,
DHTKD1,,,
C8orf58,,,
C12orf43,,,
LLPH,,,
LCE4A,,,
IDE,,,
GCKR,,,
ANGPTL8,,,
SLTM,,,
SLC2A14,,,
SLC39A6,,,
TMEM243,,,
CXCR1,,,
ACOT12,,,
NVL,,,
EPS15L1,,,
GFM2,,,
SLC51A,,,
MIR4691,,,
MADD,,,
UGT1A4,,,
TIPRL,,,
HABP2,,,
CCDC39,,,
SYMPK,,,
MOGAT2,,,
TRAPPC1,,,
IL1RN,,,
TTL,,,
PROC,,,
IQGAP1,,,
AEBP1,,,
HYAL1,,,
HERC2P9,,,
PLA2G2F,,,
MASP1,,,
SDC3,,,
GSDMA,,,
KCTD20,,,
SMAD4,,,
PROSER3,,,
C12orf60,,,
CPN2,,,
MPP3,,,
RADX,,,
PIPOX,,,
GPS1,,,
CBX6,,,
NXF1,,,
SUZ12,,,
ASPRV1,,,
TARBP1,,,
APOBEC3D,,,
PHKA1,,,
ORC6,,,
RUNDC1,,,
CACNB1,,,
MAPK7,,,
TTPAL,,,
PROCA1,,,
LOC100130357,,,
TREM1,,,
C4BPA,,,
AXIN1,,,
LEMD3,,,
UNC45A,,,
SLC28A1,,,
NXT1,,,
FASTKD2,,,
LINC00327,,,
HHIP,,,
APOA1,,,
TTC21A,,,
SULT2A1,,,
SLC10A1,,,
KNTC1,,,
H2BC4,,,
GNL1,,,
TASP1,,,
FCGR3B,,,
DNPEP,,,
NCAPG2,,,
ZNF77,,,
BTN2A1,,,
SHC1,,,
CRIP2,,,
CPS1,,,
BORCS8,,,
EEF1A2,,,
TSPAN16,,,
SLC27A5,,,
LONRF3,,,
DPYS,,,
INTS13,,,
PPIL1,,,
TMEM82,,,
SLC17A2,,,
PC,,,
PAXIP1-AS2,,,
BMPR1A,,,
SKA3,,,
ATF6B,,,
TRAV8-6,,,
F2,,,
TEX101,,,
RFWD3,,,
FGD4,,,
PJA1,,,
RHNO1,,,
CEP152,,,
NAT2,,,
TTC13,,,
RIT1,,,
ATP11B,,,
CNOT3,,,
SHQ1,,,
MBL2,,,
PLEK,,,
LOC100131635,,,
GPR84,,,
LANCL2,,,
ABCG8,,,
PLA2G2D,,,
SLC6A12,,,
HMGN4,,,
ZNF507,,,
DBF4,,,
AGA,,,
SLC25A44,,,
RGN,,,
YIPF6,,,
CETP,,,
THAP9-AS1,,,
LRRC28,,,
PRR14,,,
VPS16,,,
BST1,,,
AOX1,,,
LINC01018,,,
MCEMP1,,,
CCDC91,,,
ACMSD,,,
HSPBP1,,,
TMEM186,,,
APLF,,,
C6,,,
VTN,,,
AGXT,,,
EIF2AK1,,,
SERPINF2,,,
RALGDS,,,
C8G,,,
DMGDH,,,
HAO1,,,
BCLAF3,,,
SERPINC1,,,
TIMD4,,,
CEP95,,,
NOP16,,,
NADK2,,,
UBE2H,,,
ABCC6P1,,,
ATPAF2,,,
NUGGC,,,
ABHD12,,,
WARS1,,,
ACSM2B,,,
HPR,,,
GYS2,,,
ERI2,,,
THAP6,,,
GLYATL1,,,
BIRC5,,,
CYP3A7,,,
CP,,,
ATP10D,,,
DRP2,,,
RHOG,,,
ZNG1F,,,
TPD52,,,
TPI1P2,,,
PHC2,,,
GTF2H4,,,
TNFAIP6,,,
SRSF5,,,
SARDH,,,
TMEM230,,,
SLC22A3,,,
RBM17,,,
SERPINA11,,,
GC,,,
PDZK1,,,
CFAP53,,,
F13B,,,
FAM171A2,,,
SNORD49A,,,
LINC00115,,,
CYP4A11,,,
MTX1,,,
FETUB,,,
CEP290,,,
KNG1,,,
CPNE1,,,
KIF21B,,,
FCAR,,,
CNTNAP3,,,
SDHAP2,,,
A1CF,,,
TMEM19,,,
MTIF2,,,
NUP85,,,
MGC32805,,,
LCE2A,,,
RMI2,,,
SSX2IP,,,
LGR4,,,
LARRPM,,,
CD4,,,
QTRT2,,,
AHSG,,,
APCS,,,
SMKR1,,,
LOC100506472,,,
FASN,,,
MRPS35,,,
CHRNA5,,,
CRAT,,,
ORC4,,,
INO80E,,,
SLC39A5,,,
TMEM185A,,,
TFCP2,,,
TNFRSF9,,,
SNRPB2,,,
CYP2B7P,,,
TFG,,,
CCL20,,,
HLF,,,
NEU4,,,
HSD17B6,,,
IFNGR1,,,
CLK4,,,
NEDD8,,,
BAX,,,
POLB,,,
SCAMP3,,,
NPFF,,,
HDAC3,,,
ALDH1L1,,,
APOH,,,
KCMF1,,,
ITIH1,,,
GSS,,,
MTTP,,,
ANGPTL3,,,
STAP2,,,
SERINC3,,,
EMC8,,,
OGA,,,
NSRP1,,,
FRG1,,,
CPB2,,,
MDM2,,,
PTPRS,,,
TBL3,,,
SERPINA6,,,
PLA2G12B,,,
APOC3,,,
NR1H4,,,
LECT2,,,
MRPS18C,,,
SPNS1,,,
CYP4F11,,,
CHMP7,,,
LEF1-AS1,,,
ADAR,,,
GRPEL2,,,
RAB2B,,,
MSS51,,,
ZDHHC6,,,
PROZ,,,
ARHGAP33,,,
SLC13A5,,,
ATL2,,,
RELL1,,,
BMP2K,,,
ULK3,,,
SETD9,,,
CYP2A6,,,
BPIFC,,,
ATP6V0D1,,,
HRG,,,
ASGR2,,,
GRSF1,,,
TGIF2,,,
CBR3-AS1,,,
GUSBP11,,,
GSTA1,,,
PUS7,,,
C4BPB,,,
XRCC4,,,
NAB1,,,
TTYH1,,,
RAD51D,,,
BRAT1,,,
RLIG1,,,
MRPL58,,,
PCSK6,,,
USP7,,,
ZMIZ2,,,
EHHADH,,,
CXXC1,,,
BAALC-AS1,,,
NEMP1,,,
FAM193A,,,
JMJD4,,,
GINS3,,,
ALDH8A1,,,
SERPIND1,,,
TRIM56,,,
CALML4,,,
MRPL9,,,
GLCE,,,
FKRP,,,
MKNK2,,,
BCAR3,,,
UACA,,,
HDAC8,,,
B4GALNT4,,,
GDF15,,,
LDLRAD3,,,
GRB14,,,
C2orf72,,,
ACSL4,,,
TECPR1,,,
PBLD,,,
GCGR,,,
ITIH2,,,
RIPOR2,,,
ARPC3,,,
ADAM1A,,,
FAM200A,,,
NEURL4,,,
CENPT,,,
HGFAC,,,
MRPL57,,,
ACAA2,,,
ROPN1L,,,
IYD,,,
SNORD54,,,
EEFSEC,,,
CPT1C,,,
AADACP1,,,
GHR,,,
SLC9A8,,,
EVI2A,,,
SEMA4A,,,
PSMA4,,,
FBXL6,,,
APOA2,,,
NEMF,,,
GNPTG,,,
KCND3,,,
ORM2,,,
SLC22A15,,,
SIRT6,,,
PEBP1,,,
MIR3916,,,
FOLH1B,,,
GTPBP4,,,
ACSM5,,,
ATP1A1,,,
MT1F,,,
SPDYE3,,,
CYP4F2,,,
CLDN2,,,
C4B_2,,,
MIR3685,,,
TAS2R5,,,
INPP1,,,
WDR7,,,
XRN1,,,
UBA6-DT,,,
RRP7BP,,,
SSTR2,,,
ABCG5,,,
F11,,,
CYLD,,,
SLC22A7,,,
IRF1,,,
CFB,,,
HSPBAP1,,,
ARF5,,,
MEPCE,,,
LTV1,,,
SS18,,,
MAMLD1,,,
GLS2,,,
TMEM182,,,
ATP5MF,,,
SLC22A9,,,
XPOT,,,
CD5L,,,
RDH16,,,
C5AR1,,,
TMEM14B,,,
PLG,,,
FMO5,,,
NAE1,,,
PAH,,,
ELOVL7,,,
LCE2C,,,
TIAL1,,,
SLCO1B1,,,
AKR1C4,,,
MORC2-AS1,,,
MDH2,,,
APOM,,,
NUP62,,,
LOC646762,,,
LINC02532,,,
LINC00174,,,
ZNF266,,,
SLC6A1,,,
METTL25B,,,
POLR2A,,,
FPR1,,,
NDUFAF8,,,
WDR83OS,,,
SLC35C2,,,
IPW,,,
TNS2,,,
SERPINA7,,,
SIGLEC14,,,
TNIP1,,,
C3P1,,,
GTF2E1,,,
RRM2B,,,
CCBE1,,,
ATAD1,,,
PPP3R1,,,
E2F3,,,
VIL1,,,
ZBTB39,,,
ARK2N,,,
ASPG,,,
UTP14A,,,
CFAP69,,,
UBE3A,,,
HAMP,,,
POLQ,,,
CCDC65,,,
LRRC37B,,,
SAYSD1,,,
SPG7,,,
FABP1,,,
VEZF1,,,
PGLYRP2,,,
SOCS3,,,
VIPR1,,,
TBCK,,,
ALAD,,,
ADGRG7,,,
SUMO2,,,
GDF2,,,
RHOU,,,
CIRBP-AS1,,,
CWF19L1,,,
FBXL19,,,
CCL16,,,
C8A,,,
DENR,,,
PMS2P1,,,
BTG1,,,
MRPL28,,,
CHMP2A,,,
ZNF561,,,
TMEM199,,,
MIR3198-1,,,
SELENOT,,,
SLC38A3,,,
SMAD6,,,
RAB37,,,
GOLT1A,,,
FBXL5,,,
GADD45B,,,
SNORA50A,,,
ABHD11-AS1,,,
SUCLA2,,,
DIP2B,,,
NIPSNAP2,,,
DCST2,,,
FTH1P3,,,
ASGR1,,,
INHBC,,,
SMARCE1,,,
SEMA4F,,,
CA5A,,,
CFHR2,,,
UGT1A1,,,
ARL15,,,
ZNF23,,,
DENND3,,,
MAGOHB,,,
CDC25B,,,
DDX11,,,
MORC3,,,
KIN,,,
COLEC10,,,
YAE1,,,
IFFO1,,,
TLK2,,,
ACSM2A,,,
TFR2,,,
GLTP,,,
GOLGA8B,,,
PABPN1,,,
MOGS,,,
CENPN,,,
COMMD7,,,
KRT80,,,
DNAJC14,,,
SNORD89,,,
MAP1LC3B,,,
ST7-AS1,,,
NSUN5P1,,,
PAFAH1B2,,,
PRDX1,,,
SLC22A1,,,
RFC5,,,
IARS2,,,
USP38,,,
DEPDC7,,,
MTG1,,,
ZDHHC20,,,
SMCHD1,,,
FCN2,,,
RPAP1,,,
ADAMDEC1,,,
WSB1,,,
KIAA1586,,,
MAOA,,,
SLC25A14,,,
TMEM120B,,,
SLF2,,,
ARL6,,,
KATNB1,,,
DAD1,,,
ZNF45,,,
LEAP2,,,
CMAS,,,
AGPAT1,,,
CDHR5,,,
POLR1C,,,
SLAIN1,,,
ISG20L2,,,
MCAM,,,
IFT88,,,
CAMKV,,,
SPPL3,,,
SRP72,,,
SLC35F2,,,
TSC22D1,,,
BET1,,,
IDUA,,,
AGMAT,,,
PAQR9,,,
LRRC46,,,
EBF4,,,
OSGEP,,,
C15orf48,,,
WDR11,,,
TM9SF2,,,
CYP8B1,,,
PSME3IP1,,,
UTP18,,,
CDK4,,,
BHMT,,,
DPY19L1,,,
RRP15,,,
TBC1D15,,,
LSM7,,,
SEPTIN7P2,,,
GPLD1,,,
UBE2Q1,,,
RNF31,,,
ZSWIM1,,,
C1orf115,,,
AIMP1,,,
TGFBR1,,,
DNM2,,,
GTF2I,,,
ZNF143,,,
TTPA,,,
ABCA7,,,
RABGAP1L,,,
CSGALNACT2,,,
PICSAR,,,
HPX,,,
NR1I3,,,
FAM20B,,,
IDH1,,,
ZNF318,,,
TCEA3,,,
TUFT1,,,
KLKB1,,,
DAP3,,,
CHD8,,,
STXBP5,,,
PSMB5,,,
SIMC1P1,,,
TRIP12,,,
PAPOLA,,,
ITPA,,,
TYR,,,
SLC2A2,,,
FAM120C,,,
MIR4784,,,
TNPO2,,,
XRCC2,,,
ITGA1,,,
SLC25A47,,,
MRPL47,,,
KLHL42,,,
ABAT,,,
HSD17B10,,,
SNORA71C,,,
PICK1,,,
ANKMY1,,,
RFXANK,,,
FLAD1,,,
CD82,,,
S100A13,,,
QTRT1,,,
ZC3H18,,,
ADGRL2,,,
ANKRD54,,,
STX10,,,
DPY19L2P2,,,
ZSCAN9,,,
UBL7,,,
USP11,,,
SLC38A4,,,
OTC,,,
FMO3,,,
ARHGDIA,,,
SALL2,,,
TBRG1,,,
TRIM65,,,
ITIH4,,,
LIPC,,,
RCN2,,,
TUBA1B,,,
NDUFA5,,,
TRIM55,,,
PSAP,,,
MPG,,,
GDAP2,,,
SOWAHB,,,
SENP7,,,
CYP2D6,,,
SPRY2,,,
PON1,,,
VPS37A,,,
TMX4,,,
LGALS8,,,
RIOX2,,,
CLEC1B,,,
AGXT2,,,
HMGN1,,,
GYPC,,,
POLR3A,,,
MX2,,,
CCDC142,,,
LCE1F,,,
PTPRF,,,
AMN,,,
PDAP1,,,
CELF6,,,
KCNH3,,,
MIR4489,,,
MT1M,,,
BYSL,,,
SLC1A2,,,
ILF3,,,
COPZ1,,,
LRIG2,,,
DOT1L,,,
MLXIP,,,
ZDHHC16,,,
CHIC1,,,
G0S2,,,
RBM12,,,
RBM10,,,
RSPO4,,,
LRCOL1,,,
APOF,,,
CCL4,,,
RPL17,,,
C3,,,
TNIK,,,
XDH,,,
TENT2,,,
SERINC2,,,
LSG1,,,
TACC3,,,
MED31,,,
STUB1,,,
UGT2B4,,,
KHK,,,
HSD17B13,,,
PLK2,,,
IFFO2,,,
ARHGEF11,,,
GLYCTK,,,
CUL4A,,,
APOB,,,
SNORD18B,,,
KLHDC10,,,
ZNF548,,,
JUNB,,,
TOMM34,,,
CTBP1,,,
STYXL1,,,
FAM99A,,,
SERPINA10,,,
DHDDS,,,
ITIH3,,,
IL2RA,,,
AKR1C6P,,,
DLG4,,,
PRAP1,,,
MFSD4B,,,
ALOX12-AS1,,,
ARSB,,,
GLYAT,,,
HIRA,,,
GCNT2,,,
MIR9-1HG,,,
CPED1,,,
WBP2,,,
TTR,,,
CXCR2,,,
TOM1L1,,,
SERPINA1,,,
EXOC4,,,
SLC10A7,,,
PI4KB,,,
SCARNA22,,,
